Record Number,Common Name,Code,Scientific (Latin) Name,Locality,Observation Date,Observer,Breeding Evidence,Nest Structure or Substrate,Nest Height (meters),Observation Details,Comments,Latitude,Longitude,Location Certainty (meters),Elevation (meters),Photo Link,Sources,x,y
2,Peregrine Falcon,PEFA,Falco peregrinus,"Santa Ynez Mtns, exact location withheld",1 Jul 2005,,Fledgling out of Nest--Brancher,,,3 fledglings,nest site known since 2006; data with Santa Cruz Predatory Bird Group; year uncertain,34.704,-120.203,5000,,,observer,-13380936.751823863,4123728.32853883
3,Western Meadowlark,WEME,Sturnella neglecta,"Santa Ynez vicinity, ""Happy Canyon""",23 Apr 1934,Egmont Rett,No suitable category,,,"""Nesting commonly""",,34.62177,-120.00838,,227,,Rett 1934-1941.pdf,-13359271.752525676,4112599.2554202913
4,Wilson's Warbler,WIWA,Cardellina pusilla,Santa Ynez River at Solvang,30 Jun 1934,Egmont Rett,Nestling in Nest,,,"""Nest with 3 young and 1 Cowbird""","8-July-34, Returned to find empty nest""",34.58559,-120.1458,1000,111,,Rett 1934-1941.pdf,-13374569.276950486,4107706.119932718
5,American Coot,AMCO,Fulica americana,"Goleta, COPR",20 May 1935,Egmont Rett,Egg in Nest,Salicornia,,"""Nest with 8 eggs""","""Campbell Ranch Ponds""",34.41325,-119.87638,500,2,,Rett 1934-1941.pdf,-13344577.579740966,4084427.304260751
6,Killdeer,KILL,Charadrius vociferus,"Goleta, COPR",20 May 1935,Egmont Rett,Egg in Nest,,,"""Nest with 4 eggs""","""Campbell Ranch Ponds"" ""Sand Dune""",34.41065,-119.88052,200,2,,Rett 1934-1941.pdf,-13345038.44243285,4084076.4773476836
7,Pied-billed Grebe,PBGR,Podilymbus podiceps,"Goleta, COPR",22 May 1935,Egmont Rett,Fledgling under Parental Care,,,"""...with family on her back...""","""Campbell Ranch Ponds""",34.41325,-119.87638,500,2,,Rett 1934-1941.pdf,-13344577.579740966,4084427.304260751
8,Blue-gray Gnatcatcher,BGGN,Polioptila caerulea,"Santa Ynez Mtns, nr Painted Cave",25 Apr 1936,Egmont Rett,Nest Building,,,"""Saw one of the birds working on the nest...its almost finished""","""Above Painted Cave, Dillingham Cabin""",34.50698,-119.79258,1000,827,,Rett 1934-1941.pdf,-13335249.006412487,4097081.908892238
9,Killdeer,KILL,Charadrius vociferus,"Goleta, UCSB Campus Lagoon",29 Apr 1936,Egmont Rett,Fledgling out of Nest--Brancher,,,"""A pair with 2 small young""","Goleta, ""Irvine Ranch""",34.40898,-119.84769,300,4,,Rett 1934-1941.pdf,-13341383.823550105,4083851.144274421
10,Snowy Plover,SNPL,Charadrius nivosus,"Goleta, UCSB Campus Lagoon",29 Apr 1936,Egmont Rett,Egg in Nest,,,"""One nest with 3 eggs""","Goleta, ""Irvine Ranch""",34.40902,-119.84769,300,4,,Rett 1934-1941.pdf,-13341383.823550105,4083856.5414211946
11,Barn Swallow,BARS,Hirundo rustica,"Goleta, COPR",31 Jul 1939,Egmont Rett,Egg in Nest,,,"""...At least 3 pairs...one nest contained 4 eggs""","""Under small wooden bridge on  N. End of pond at Campbell Ranch""",34.41748,-119.87408,50,2,,Rett 1934-1941.pdf,-13344321.544912139,4084998.0959678083
12,Mountain Quail,MOUQ,Oreortyx pictus,"Cuyama Valley, Ballinger Cyn",10 Jul 1978,BOSB,Family Group in Close Association,,,female with 11 chicks,,34.88206,-119.46246,500,901,,BOSB species account,-13298500.216111813,4147865.097340767
13,Snowy Plover,SNPL,Charadrius nivosus,"Goleta, COPR",2 May 1982,Dean Bazzi,Egg in Nest,,,"""Nest containing 3 eggs about 150-200 ft. from waters edge and about 10-20 ft. from the nearest dune vegetation."" [3 individuals observed, one of which was female who ran to nest]","""1/8 miles W of Devereux Slough outlet at border of the Reserve and present University Exchange property"". On 5-May-82, nest not found, dune buggy tracks in area.  1 female exhibiting same distraction behavior as 02-May-82 bird and returns to nest-""Same Female?""",34.41196,-119.88308,100,3,,"""Snowy Plover Field Observations""",-13345323.42032928,4084253.2387753855
14,Snowy Plover,SNPL,Charadrius nivosus,"Goleta, COPR, Devereux Beach",5 May 1982,Dean Bazzi,Egg in Nest,,,"""Nest site with at least 2 eggs"" ""5-May-82 nest gone by 30-May-82, Dune buggy tracks where nest should have been and 2 unhatched dead chicks nearby. No evidence of 3rd egg.","""About 100-200 ft. from previous [2-May-82] nest site",34.4106,-119.88175,100,2,,"""",-13345175.365406523,4084069.7307831543
15,White-tailed Kite,WTKI,Elanus leucurus,"Goleta, Lake Los Carneros Natural and Historical Preserve",9 May 1987,Mark Holmgren,Fledgling under Parental Care,,,"4 fledglings out of nest flying well, 1 adult in close proximity 100m N of Hwy 101 and Calle Real. Perched atop, oak, willow, pines to the E.",Nest site not identified.,34.43937,-119.84796,200,10,,Lake Los Carneros 9 May 1987.pdf,-13341413.879812619,4087952.3707775082
16,Brown-headed Cowbird,BHCO,Molothrus ater,"Santa Ynez River, Floradale Ave",18 Jul 1992,Mark Holmgren,Host - Brood Parasite Interaction,,,2 fledglings being fed by 1 pair Wilson's Warblers,With Jim Greaves  See also Wilson's Warbler rec 18.,34.67125,-120.49501,500,16,,SYR Floradale and estuary 18 July 1992.pdf,-13413443.156330407,4119294.5940938834
17,Willow Flycatcher,WIFL,Empidonax traillii,"N VAFB, Santa Ynez River, Miguelito Wetland at RR trestle",18 Jul 1992,Mark Holmgren,Feeding Fledgling,,,adult fed juv and juvs fed themselves,With Jim Greaves,34.68481,-120.58584,25,,,SYR Floradale and estuary 18 July 1992.pdf,-13423554.305679161,4121130.150462206
18,Wilson's Warbler,WIWA,Cardellina pusilla,"Santa Ynez River, Floradale Ave",18 Jul 1992,Mark Holmgren,Feeding Fledgling,,,2 adults feeding 2 fledgling cowbirds,With Jim Greaves  See also Wilson's Warbler rec 16.,34.67128,-120.49501,500,16,,SYR Floradale and estuary 18 July 1992.pdf,-13413443.156330407,4119298.654727598
19,Willow Flycatcher,WIFL,Empidonax traillii,"Santa Ynez River, Buellton",25 Jun 1993,Mark Holmgren,Delivering Food to Nest or Cavity,Poison Oak,,food delivery to nest not found,"Willow Flycatcher, S side river. With David Kisner  Territory #1 in notes. Female cowbird present",34.61687,-120.21587,150,92,,,-13382369.433670374,4111936.433959366
20,Willow Flycatcher,WIFL,Empidonax traillii,"Santa Ynez River, Buellton",25 Jun 1993,Mark Holmgren,Carrying Nesting Material,,,We watched bird collect nest material and go to a low shrub and emerge without the material.,"Willow Flycatcher, S side river. With David Kisner  Territory #2 in notes. Female cowbird present",34.61686,-120.21542,150,92,,,-13382319.339899514,4111935.0813025176
21,Willow Flycatcher,WIFL,Empidonax traillii,"Santa Ynez River, Buellton",25 Jun 1993,Mark Holmgren,Nest in Use (clarify),"Mulefat, Poison Oak",1.5,"nest in 10m wide, now dry, tributary channel on S-facing slope of river near a remnent pond. 3 nestlings","Willow Flycatcher, S side river. With David Kisner  female cowbird in attendance, but all nestl appeared to be WiFls",34.61686,-120.21542,150,92,,,-13382319.339899514,4111935.0813025176
22,European Starling,EUST,Sturnus vulgaris,"Santa Ynez River, Buellton",25 May 1994,Mark Holmgren,Delivering Food to Nest or Cavity,,,feeding young in cavities,With Dave Haupt  No specific nest record. from 2.0 to 0.5 miles W Buellton,34.61442,-120.21323,500,94,,,-13382075.550214678,4111605.037902499
23,Northern Flicker,NOFL,Colaptes auratus,"Santa Ynez River, Buellton",25 May 1994,Mark Holmgren,Carrying Food,cottonwood,6.2,adult male carrying food to nest cavity in top of 20' high dead Cottonwood,"With Dave Haupt from 2.0 to 0.5 miles W Buellton. Cottonwood, dead",34.61442,-120.21326,500,94,,SYR Buellton 25 May 1994.pdf,-13382078.889799403,4111605.037902499
24,Western Bluebird,WEBL,Sialia mexicana,"Santa Ynez River, Buellton",25 May 1994,Mark Holmgren,Carrying Food,cottonwood,,adults carrying food to nest hole in dead Cottonwood,"With Dave Haupt from 2.0 to 0.5 miles W Buellton. Cottonwood, dead",34.61442,-120.21329,500,2,,SYR Buellton 25 May 1994.pdf,-13382082.229384126,4111605.037902499
25,Canada Goose,CANG,Branta canadensis,"Goleta, COPR, Devereux Slough",29 May 1994,Mark Holmgren,Fledgling under Parental Care,,,2 adults with 3 softball-sized chicks,"With Kudrak, K.  Probably first SB County breeding record",34.41197,-119.87721,40,2,,Devereux 29 May 1994.pdf,-13344669.974918323,4084254.5881099086
26,European Starling,EUST,Sturnus vulgaris,"Goleta, COPR, Slough Rd",29 May 1994,Mark Holmgren,Feeding Fledgling,,,"""juvs"" being fed","With Kudrak, K.",34.41423,-119.8736,150,71,,Devereux 29 May 1994.pdf,-13344268.11155656,4084559.541850352
